id,name,gov_entity,default_gov_fee,default_office_fee,active,created_at,entity_id,name_en
c4c05f33-403b-4eb8-a1c7-549c4b0f54d8,Counslet Inside & Outside Attstion,Attention & Lagal Translation,1.00,1.00,t,2026-08-24 08:27:37.965918+00,d252e66f-9d7a-4f08-b388-54b520e91ecb,
f700ba06-8984-4d5a-b5a0-49eeff44a6d2,VIP,VIP SERVICES,0.00,1000.00,t,2026-08-24 10:37:45.174636+00,df949eaa-ff50-4935-94d3-6032018d9c69,
b0d46b16-b454-47d5-8b86-ef49e2fded22,تسجل عقد عمل,Ministry Of Labor (Mohre),1000.00,100.00,t,2026-08-24 12:02:49.395702+00,2396df03-1044-4b19-955d-47a15a1830ab,Register one person
326c64a4-069b-4efc-8ac6-4755e601c12e,Property Valuation,Dubai Land Department,2500.00,500.00,t,2026-08-23 16:57:04.847362+00,df43477e-8234-409d-9741-80e1dd49be7a,
ff4e3a4c-84f4-4cc7-afdd-8edb42f29bb7,MOFA,Attention & Lagal Translation,1.00,1.00,t,2026-08-24 08:25:55.783008+00,d252e66f-9d7a-4f08-b388-54b520e91ecb,
2f240430-f0e6-498d-a842-2fc116b1861a,Lagal Translation For All Languages & Departments,Attention & Lagal Translation,1.00,1.00,t,2026-08-24 08:29:00.347943+00,d252e66f-9d7a-4f08-b388-54b520e91ecb,
3e847002-29ea-4bf6-b2ee-5969cbd43b1e,Apply New Establishment Card,immigration,1.00,1.00,t,2026-08-24 08:30:03.774203+00,b617761e-4448-40c6-9cd6-d55649241e40,
7d09d7e0-845d-4bc6-8f11-36e57a33abac,Work Visa,immigration,1.00,1.00,t,2026-08-24 08:30:43.428342+00,b617761e-4448-40c6-9cd6-d55649241e40,
5f27a575-6d00-4e0c-89c7-ba7f23e00659,Family Visa,immigration,1.00,1.00,t,2026-08-24 08:31:09.570845+00,b617761e-4448-40c6-9cd6-d55649241e40,
33e4f368-12c3-43ed-80e0-fb23d8dedacb,Investor Visa,immigration,1.00,1.00,t,2026-08-24 08:31:38.061351+00,b617761e-4448-40c6-9cd6-d55649241e40,
e50f4e11-5f7b-49af-8036-c82ee60520fc,Golden Visa,immigration,1.00,1.00,t,2026-08-24 08:32:02.669795+00,b617761e-4448-40c6-9cd6-d55649241e40,
cc5ecf1e-d3d7-4ba6-9ee6-2be26d64d847,Visa Stamping,immigration,1.00,1.00,t,2026-08-24 08:32:42.845265+00,b617761e-4448-40c6-9cd6-d55649241e40,
1f6a24a0-de6f-424e-8e58-eb3232fa27c3,Change Status,immigration,1.00,1.00,t,2026-08-19 20:05:56.879981+00,b617761e-4448-40c6-9cd6-d55649241e40,
b9a237fc-dce6-43be-851f-e4e2f530467b,Entry permit,immigration,1.00,1.00,t,2026-08-23 16:53:52.898822+00,b617761e-4448-40c6-9cd6-d55649241e40,
8f072547-bcaa-4356-9613-9fb0de0b6fec,Opening Work & Workers Files,Ministry Of Labor (Mohre),1.00,1.00,t,2026-08-24 08:34:53.660069+00,2396df03-1044-4b19-955d-47a15a1830ab,
d9fe1ecd-c61f-479f-914f-9fd5aef408ad,Add a Quota,Ministry Of Labor (Mohre),1.00,1.00,t,2026-08-24 08:35:35.658605+00,2396df03-1044-4b19-955d-47a15a1830ab,
1920564f-1601-4b4a-abeb-3516c4ac7ab9,Work Contracts And Permits,Ministry Of Labor (Mohre),1.00,1.00,t,2026-08-24 08:36:38.935226+00,2396df03-1044-4b19-955d-47a15a1830ab,
f93f6a2c-bb1a-41fd-b608-2058d6f91f6e,Modify Profession & Salary,Ministry Of Labor (Mohre),1.00,1.00,t,2026-08-24 08:37:29.841115+00,2396df03-1044-4b19-955d-47a15a1830ab,
49fcd00e-9250-4623-b240-45fe965f9de4,Issue Employment Card,Ministry Of Labor (Mohre),1.00,1.00,t,2026-08-24 08:38:15.586233+00,2396df03-1044-4b19-955d-47a15a1830ab,
d95fe44d-2410-4b27-9fb4-51a8c0c824c6,New EID,EID & DHA,1.00,1.00,t,2026-08-24 09:25:07.404866+00,eb897645-293d-4553-ad52-37e3c6e1f5de,
a3d2f372-cdee-495d-8f77-d6acb4760330,Renwal EID,EID & DHA,1.00,1.00,t,2026-08-24 09:25:35.894882+00,eb897645-293d-4553-ad52-37e3c6e1f5de,
a0d38d77-b836-40db-9a4c-e6d408729c13,Normal Medical Test,EID & DHA,1.00,1.00,t,2026-08-24 09:26:14.081365+00,eb897645-293d-4553-ad52-37e3c6e1f5de,
45a0b4eb-668d-4783-9c2c-258b87b3fd29,VIP Medical Test,EID & DHA,1.00,1.00,t,2026-08-24 09:26:56.620341+00,eb897645-293d-4553-ad52-37e3c6e1f5de,
1a6cbeb0-d73e-46a8-8793-1645f75ef2a9,Company Formation,Department Of Economic Development,1.00,1.00,t,2026-08-24 09:27:38.752523+00,6a53ee6a-4288-42ad-8444-73ca8a12b80b,
8a49f8d5-3106-47c5-84ab-040f6d7f811c,Ejary,Department Of Economic Development,1.00,1.00,t,2026-08-24 09:28:07.461333+00,6a53ee6a-4288-42ad-8444-73ca8a12b80b,
2dbebd23-b3d2-4bc9-8948-e6ab0856e0c9,Providing External Approvals,Department Of Economic Development,1.00,1.00,t,2026-08-24 09:28:57.316513+00,6a53ee6a-4288-42ad-8444-73ca8a12b80b,
bd762e24-d996-4ddd-b48a-e4659b31c661,Providing a Service agent,Department Of Economic Development,1.00,1.00,t,2026-08-24 09:30:31.452728+00,6a53ee6a-4288-42ad-8444-73ca8a12b80b,
6a2d3434-519f-41b7-b5c6-6e1aab9df3bd,Modify & Renew the License,Department Of Economic Development,1.00,1.00,t,2026-08-24 09:31:26.155231+00,6a53ee6a-4288-42ad-8444-73ca8a12b80b,
fec3ad03-fde3-4286-8d1e-6bcfd9d4fe44,Add Partners,Department Of Economic Development,1.00,1.00,t,2026-08-24 09:32:39.746004+00,6a53ee6a-4288-42ad-8444-73ca8a12b80b,
250bee97-eb47-492a-9aad-94f22cb6d337,Add And Modify License,Department Of Economic Development,1.00,1.00,t,2026-08-24 09:33:27.990363+00,6a53ee6a-4288-42ad-8444-73ca8a12b80b,
ba6e80af-b7d6-4ff4-bb03-e278ffc6f9f6,Health Insurance,Insurance,1.00,1.00,t,2026-08-24 09:34:06.943383+00,bb757797-da9b-4c18-ae59-179e3412a946,
809a810f-3318-4d37-b5be-8c6cbcc001a0,Life Insurance,Insurance,1.00,1.00,t,2026-08-24 09:34:41.509811+00,bb757797-da9b-4c18-ae59-179e3412a946,
5da5513f-4b3b-4488-a73f-216e38d1a1dc,Work Insurance,Insurance,1.00,1.00,t,2026-08-24 09:35:12.360345+00,bb757797-da9b-4c18-ae59-179e3412a946,
2827df9d-26e5-4fa5-bf97-dbfc5c17d7b6,VIP Property Valuation,Dubai Land Department,1.00,1.00,t,2026-08-23 19:15:57.140007+00,df43477e-8234-409d-9741-80e1dd49be7a,Application for a residential plot
11deb9e3-008c-4727-b12a-f3b4efadb602,10 Years Golden Visa,Dubai Land Department,1.00,1.00,t,2026-08-24 09:39:03.312553+00,df43477e-8234-409d-9741-80e1dd49be7a,
7ddc4cc0-9a6c-4efe-ad01-83bf2fc1329e,5 Years Retirement Visa,Dubai Land Department,1.00,1.00,t,2026-08-24 09:40:01.620997+00,df43477e-8234-409d-9741-80e1dd49be7a,
e7edbb1e-ca7f-43da-86be-1bc872e1692b,2 Years TASKEEN Visa,Dubai Land Department,1.00,1.00,t,2026-08-24 09:40:40.962599+00,df43477e-8234-409d-9741-80e1dd49be7a,
ec9d7985-8b56-48eb-b48c-9172f885f138,Real Estate Registration Services,Dubai Land Department,1.00,1.00,t,2026-08-24 09:41:27.634648+00,df43477e-8234-409d-9741-80e1dd49be7a,
d7dedd6c-84da-4f18-a955-f40d1d1458e1,Opining Bank Account,Banking,3000.00,500.00,t,2026-08-24 09:43:31.19387+00,5291d977-c8eb-492d-b999-193bea0b4756,
